Категорія: Усі категорії

Тиждень,pool: (Сполучені Штати)
2015-08-23,33
2015-08-30,32
2015-09-06,33
2015-09-13,27
2015-09-20,25
2015-09-27,22
2015-10-04,22
2015-10-11,21
2015-10-18,20
2015-10-25,19
2015-11-01,19
2015-11-08,18
2015-11-15,18
2015-11-22,17
2015-11-29,17
2015-12-06,17
2015-12-13,19
2015-12-20,19
2015-12-27,22
2016-01-03,21
2016-01-10,20
2016-01-17,21
2016-01-24,21
2016-01-31,23
2016-02-07,26
2016-02-14,29
2016-02-21,26
2016-02-28,26
2016-03-06,27
2016-03-13,30
2016-03-20,29
2016-03-27,30
2016-04-03,31
2016-04-10,30
2016-04-17,34
2016-04-24,34
2016-05-01,34
2016-05-08,42
2016-05-15,42
2016-05-22,59
2016-05-29,80
2016-06-05,76
2016-06-12,73
2016-06-19,77
2016-06-26,74
2016-07-03,65
2016-07-10,60
2016-07-17,63
2016-07-24,56
2016-07-31,49
2016-08-07,58
2016-08-14,45
2016-08-21,36
2016-08-28,33
2016-09-04,33
2016-09-11,28
2016-09-18,26
2016-09-25,25
2016-10-02,23
2016-10-09,22
2016-10-16,21
2016-10-23,21
2016-10-30,20
2016-11-06,19
2016-11-13,21
2016-11-20,19
2016-11-27,20
2016-12-04,21
2016-12-11,20
2016-12-18,20
2016-12-25,22
2017-01-01,23
2017-01-08,23
2017-01-15,24
2017-01-22,24
2017-01-29,24
2017-02-05,24
2017-02-12,24
2017-02-19,26
2017-02-26,26
2017-03-05,29
2017-03-12,30
2017-03-19,29
2017-03-26,32
2017-04-02,33
2017-04-09,37
2017-04-16,35
2017-04-23,36
2017-04-30,38
2017-05-07,41
2017-05-14,51
2017-05-21,54
2017-05-28,74
2017-06-04,72
2017-06-11,82
2017-06-18,76
2017-06-25,72
2017-07-02,79
2017-07-09,64
2017-07-16,66
2017-07-23,54
2017-07-30,50
2017-08-06,41
2017-08-13,39
2017-08-20,35
2017-08-27,32
2017-09-03,33
2017-09-10,27
2017-09-17,26
2017-09-24,25
2017-10-01,23
2017-10-08,24
2017-10-15,22
2017-10-22,20
2017-10-29,20
2017-11-05,20
2017-11-12,20
2017-11-19,19
2017-11-26,18
2017-12-03,18
2017-12-10,19
2017-12-17,19
2017-12-24,21
2017-12-31,22
2018-01-07,21
2018-01-14,21
2018-01-21,22
2018-01-28,22
2018-02-04,22
2018-02-11,22
2018-02-18,25
2018-02-25,26
2018-03-04,27
2018-03-11,28
2018-03-18,28
2018-03-25,30
2018-04-01,32
2018-04-08,31
2018-04-15,31
2018-04-22,35
2018-04-29,39
2018-05-06,47
2018-05-13,51
2018-05-20,67
2018-05-27,89
2018-06-03,76
2018-06-10,77
2018-06-17,77
2018-06-24,79
2018-07-01,92
2018-07-08,73
2018-07-15,62
2018-07-22,55
2018-07-29,50
2018-08-05,51
2018-08-12,43
2018-08-19,37
2018-08-26,36
2018-09-02,35
2018-09-09,27
2018-09-16,27
2018-09-23,24
2018-09-30,24
2018-10-07,22
2018-10-14,21
2018-10-21,20
2018-10-28,19
2018-11-04,19
2018-11-11,19
2018-11-18,18
2018-11-25,18
2018-12-02,18
2018-12-09,18
2018-12-16,18
2018-12-23,20
2018-12-30,22
2019-01-06,20
2019-01-13,21
2019-01-20,21
2019-01-27,21
2019-02-03,22
2019-02-10,22
2019-02-17,23
2019-02-24,23
2019-03-03,25
2019-03-10,28
2019-03-17,30
2019-03-24,32
2019-03-31,31
2019-04-07,34
2019-04-14,34
2019-04-21,37
2019-04-28,38
2019-05-05,40
2019-05-12,45
2019-05-19,63
2019-05-26,82
2019-06-02,71
2019-06-09,69
2019-06-16,64
2019-06-23,82
2019-06-30,86
2019-07-07,71
2019-07-14,72
2019-07-21,62
2019-07-28,57
2019-08-04,49
2019-08-11,45
2019-08-18,40
2019-08-25,34
2019-09-01,34
2019-09-08,29
2019-09-15,27
2019-09-22,26
2019-09-29,25
2019-10-06,23
2019-10-13,22
2019-10-20,21
2019-10-27,19
2019-11-03,20
2019-11-10,19
2019-11-17,19
2019-11-24,19
2019-12-01,17
2019-12-08,18
2019-12-15,18
2019-12-22,19
2019-12-29,21
2020-01-05,20
2020-01-12,22
2020-01-19,21
2020-01-26,21
2020-02-02,21
2020-02-09,22
2020-02-16,24
2020-02-23,23
2020-03-01,24
2020-03-08,24
2020-03-15,20
2020-03-22,24
2020-03-29,28
2020-04-05,32
2020-04-12,33
2020-04-19,42
2020-04-26,56
2020-05-03,60
2020-05-10,60
2020-05-17,76
2020-05-24,100
2020-05-31,90
2020-06-07,94
2020-06-14,85
2020-06-21,81
2020-06-28,86
2020-07-05,79
2020-07-12,72
2020-07-19,69
2020-07-26,62
2020-08-02,51
2020-08-09,49
